Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Address,Latitude,Longitude,,
Whitley Hall CC,@WhitleyHallCC,UK,Yorkshire,YCSPL,1945,2/21/2022,2/21/2022,,S35 9WH,53.44168,-1.48278,,
Glossop CC,@GlossopCC,UK,Lancashire,,2367,2/21/2022,2/21/2022,,,,,,
Low Moor Holy Trinity CC,@LowMoorHTCC,UK,Yorkshire,HCL,815,2/21/2022,2/21/2022,,BD12 0QB,53.75678,-1.75247,,
Buxworth CC,@BuxworthCC,UK,,,558,2/21/2022,2/28/2022,,,,,,
Charlesworth & Chisworth CC,@Charlesworth_CC,UK,Derbyshire / Cheshire,Derbyshire & Cheshire Cricket League,794,2/21/2022,2/21/2022,,,,,,
Horwich RMI Cricket,@HORWICHRMI,UK,,,1876,2/21/2022,2/21/2022,,,,,,
Carlton CC,@CarltonCricket,UK,Scotland,WPL… and Masterton?,2651,2/22/2022,2/22/2022,,,,,,
Granada CdC,@CricketGranada,Spain,,,286,2/22/2022,2/22/2022,,,,,,
Haagse CC,@HaagseCC,Netherlands,,,1192,2/22/2022,2/22/2022,,,,,,
Fawley CC,@FawleyCC,UK,Hampshire,SEPL… Hants CL,1506,2/22/2022,2/22/2022,,,,,,
Mackay Hurricanes,@mkyhurricanes,Australia,,,506,2/22/2022,no need to tag the Aussies(!),,,,,,
Mentone CC,@MentoneCC,Australia,,,2733,2/22/2022,no need to tag the Aussies(!),,,,,,
Dandenong CC,@DandenongCC,Australia,,,3530,2/22/2022,no need to tag the Aussies(!),,,,,,
Woodham Mortimer CC,@WoodiesCC,UK,Essex,T Rippon Mid Essex Cricket League… Warsop Sunday League,658,2/22/2022,2/22/2022,,CM9 6TQ,51.7108,0.60625,,
Cork County CC,@Cork_CountyCC,Ireland,,,2921,2/22/2022,2/22/2022,,,,,,
West Chiltington & Thakeham CC,@WCTCC,UK,Sussex,Sussex Slam,1784,2/22/2022,2/22/2022,,,,,,
West Chiltington & Thakeham CC Women,@westchiltwomen,UK,Sussex,,106,2/22/2022,didn't bother because we tagged the main club account,,,,,,
Voorburg CC,@VoorburgCC,Netherlands,,,1382,2/22/2022,2/22/2022,,,,,,
Sloggers CC,@CcSloggers,Gibraltar,,,109,2/22/2022,2/22/2022,,,,,,
Walsden CC,@WalsdenCC,UK,Lancashire,,2585,2/22/2022,2/22/2022,,,,,,
Whitminster CC,@WhitminsterCC,UK,,,661,2/22/2022,2/22/2022,,,,,,
Bacup CC,@BacupCC,UK,Lancashire,,3989,2/22/2022,2/22/2022,,,,,,
Carmarthen Wanderers CC,@CarmarthenWands,UK,South Wales,South Wales Premier Cricket League,2781,2/22/2022,2/22/2022,,,,,,
Barkisland CC,@barkicc,UK,Yorkshire,Huddersfield Cricket League,1929,2/22/2022,2/22/2022,,HX4 0DE,53.68333,-1.92094,,
