Club,Handle,Country,Region,League,Followers,(as of),Tweeted at…,Expressed some interest?,Address,Latitude,Longitude,,
Stroud CC,@Stroud_Cricket,UK,Gloucestershire,,709,3/31/2022,3/31/2022,,,,,,
Palmers CC,@Palmers_CC,UK,Sussex,,490,3/31/2022,3/31/2022,,,,,,
Radcliffe on Trent CC,@ROTCricketClub,UK,Nottinghamshire,South Notts League… Nottinghamshire Premier League,1124,3/31/2022,3/31/2022,,NG12 2DU,,,,
Baston CC,@BastonCC,UK,Lincolnshire,South Lincs & Border League… PMWL,599,3/31/2022,3/31/2022,,PE6 9PA,,,,
Newtown CC,@NewtownCC,UK,Shropshire,Shropshire League,1346,3/31/2022,3/31/2022,,,,,,
Olicanian CC,@OlicanianCC,UK,Yorkshire,Airedale & Wharfedale Senior Cricket League,1739,3/31/2022,3/31/2022,,,,,,
Oswestry CC,@OswestryCC,UK,Birmingham,Birmingham League… Shropshire League,2534,3/31/2022,3/31/2022,,,,,,
Bishops Castle CC,@BCastleCricket,UK,Shropshire,,1527,3/31/2022,3/31/2022,,,,,,
Haverhill CC,@Haverhill__cc,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship,1733,3/31/2022,3/31/2022,,,,,,
Aberdare CC,@AberdareCC,UK,South Wales,SWCA,1284,3/31/2022,3/31/2022,,,,,,
Chepstow CC,@ChepstowCricket,UK,,,1263,3/31/2022,3/31/2022,,,,,,
Jer Lane CC,@JerLaneCC,UK,Yorkshire,Bradford Premier League,1321,3/31/2022,3/31/2022,,BD7 4NP,,,,
Sherwood Colliery CC,@Sherwood_CCC,UK,Nottinghamshire,Bassetlaw & District Cricket League,1447,4/1/2022,4/1/2022,,NG19 7NS,,,,
Newbury CC,@newburycc,UK,,TVCL,2008,4/1/2022,4/1/2022,,,,,,
Worcester CC,@Worcester_CC,UK,Worcestershire,Worcester League,1265,4/1/2022,4/1/2022,,,,,,
Birstall Village CC,@bvillagecc,UK,Leicestershire,L&RCL,647,4/1/2022,4/1/2022,,LE4 4DH,,,,
Snettisham CC,@snettishamcc,UK,Norfolk,Norfolk Cricket Alliance… Norfolk Cricket League… MNSCL… Norfolk Over 40s Social League,1735,4/1/2022,4/1/2022,,PE31 7LX,,,,
Nenagh CC,@NenaghCricket,Ireland,Munster,,481,4/1/2022,4/1/2022,,,,,,
Lindow CC,@LindowCC,UK,Cheshire,,1255,4/1/2022,4/1/2022,,,,,,
Beckwithshaw CC,@beckwithshawcc,UK,,,957,4/1/2022,4/1/2022,,,,,,
Newby Hall CC,@NewbyHallCC,UK,Yorkshire,Nidderdale League,395,4/1/2022,4/1/2022,,,,,,
Denby Dale CC,@DenbyDaleCC,UK,Yorkshire,Huddersfield Cricket League,1390,4/1/2022,4/1/2022,,HD8 8RX,,,,
Tilford CC,@TilfordCC,UK,Surrey,l'Anson Cricket Competition,2141,4/1/2022,4/1/2022,,,,,,
Aberystwyth University CC,@UniAberCC,UK,North Wales,,181,4/1/2022,4/1/2022,,,,,,
Hawk Green CC,@hgcc2013,UK,Cheshire,UK FAST Cheshire Cricket League,1188,4/1/2022,4/1/2022,,,,,,
Houghton & Thurnby CC,@Stoughtontcc,UK,Leicestershire,L&RCL... EMWCL,774,4/1/2022,4/1/2022,,LE7 9NA,,,,
Marylebone CC,@MCCOfficial,UK,Middlesex,,12400,4/1/2022,4/1/2022,,,,,,
VVV CC,@vvvCricket,Netherlands,,,523,4/1/2022,4/1/2022,,,,,,
Stanton Harcourt CC,@StantonHCC,UK,Oxfordshire,Cherwell League,511,4/1/2022,4/1/2022,,OX29 5RL,,,,
Sandiacre Town CC,@sandiacretowncc,UK,Derbyshire,DCCL... EMWCL… NCCA,957,4/1/2022,4/1/2022,,NG10 5JJ,,,,
Filey CC,@FileyCC,UK,Yorkshire,Scarborough Beckett Cricket League,747,4/1/2022,4/1/2022,,,,,,
Easton in gordano CC,@Eigcc,UK,,,373,4/1/2022,4/1/2022,,,,,,
Prague Barbarians CC,@Barbarians_CC,Czech Rep,,,462,4/1/2022,didn't bother :),,,,,,
Thornton Watlass CC,@ThorntonWatlass,UK,,Nidderdale League,320,4/1/2022,4/1/2022,,,,,,
Bourne CC,@BourneCC,UK,Lincolnshire,Lincolnshire County Board Premier League… Rutland Cricket League... South Lincs & Border League... EMWCL,1677,4/1/2022,4/1/2022,,PE10 9EN,,,,
Hackney Umpires CC,@hackneyumpires,UK,,,1060,4/1/2022,4/1/2022,,,,,,
Hazel Grove CC,@HazelGroveCC,UK,,Derbyshire and Cheshire Cricket League,1194,4/1/2022,4/1/2022,,,,,,
North Weald CC,@NorthWealdCC,UK,Essex,Herts & Essex Border League,773,4/1/2022,4/1/2022,,CM16 6EY,,,,
Newbridge CC,@NewbridgeCC,UK,South Wales,South Wales Premier Cricket League,1718,4/4/2022,4/5/2022,,,,,,
Crumlin CC,@CrumlinCC,UK,,,969,4/4/2022,4/4/2022,,,,,,
Eaton Bray CC,@EatonBrayCC,UK,Bedfordshire,Bedfordshire County Cricket League… FCCL… Village T20 League,1581,4/4/2022,4/4/2022,,LU6 2BQ,,,,
Llay Welfare CC,@LlayWelfareCC,UK,North Wales,North Wales Premier League,2275,4/4/2022,4/4/2022,,,,,,
Godmanchester Town CC,@GoddyCricket,UK,Cambridgeshire,EAPL... CCA... Huntingdonshire County Cricket League,998,4/4/2022,4/4/2022,,PE29 2BN,,,,
Goole Town CC,@GooleTownCC,UK,Yorkshire,,1565,4/4/2022,4/4/2022,,,,,,
Doune CC,@dounecricket,UK,Scotland,West Stirlingshire Midweek T20 League,488,4/4/2022,4/4/2022,,,,,,
Mold CC,@Moldcricketclub,UK,North Wales,North Wales League,2680,4/4/2022,4/4/2022,,,,,,
Wargrave CC,@WargraveCc,UK,Berkshire,HCPCL… TVCL,795,4/4/2022,4/4/2022,,RG10 8BG,,,,
Rickmansworth CC,@RickyCC_1787,UK,Hertfordshire,Herts League,1750,4/4/2022,4/4/2022,,WD3 1HU,,,,
Berkshire CCC,@BerksCricket,UK,Berkshire,National Counties Cricket Association,3449,4/4/2022,4/4/2022,,RG14 6TW,,,,
Forton CC,@Forton_CC,UK,,,2326,4/4/2022,4/4/2022,,,,,,
Harlow Town CC,@Harlowtowncc,UK,Essex,Hamro Foundation Essex League… Herts & Essex Border League,3417,4/4/2022,4/4/2022,,CM19 5BE,,,,
Mark CC,@MarkCricketClub,UK,Somerset,,674,4/4/2022,4/4/2022,,,,,,
Greenock CC,@Greenockcricket,UK,Scotland,,1257,4/4/2022,4/4/2022,,,,,,
Pinkneys Green CC,@PG_cricketclub,UK,Berkshire,CMB Premiership… Chilterns League,559,4/4/2022,4/4/2022,,,,,,
Northwich CC,@Northwich_C_C,UK,Cheshire,,952,4/4/2022,4/4/2022,,,,,,
Goose Green CC,@GGCCwigan,UK,Lancashire,Southport & District League... West Lancashire Cricket League,1046,4/4/2022,4/4/2022,,,,,,
Triangle CC,@Triangle_CC,UK,Yorkshire,HCL,1366,4/4/2022,4/4/2022,,HX6 3NA,,,,
Portsmouth CC,@PortsmouthCC1,UK,Hampshire,Hants CL,1141,4/4/2022,4/4/2022,,,,,,
Easton & Martyr Worthy CC,@EMWCC,UK,Hampshire,Hants CL,1193,4/5/2022,4/5/2022,,,,,,
Pledwick CC,@pledwickcc,UK,Yorkshire,Pontefract & DCL… Barnsley & District Cricket League,2277,4/5/2022,4/5/2022,,WF2 6QE,,,,
Wantage & Grove CC,@WantageCC,UK,Oxfordshire,Cherwell League,419,4/5/2022,4/5/2022,,OX12 7HD,,,,
Ilton CC,@IltonCC,UK,Somerset,Somerset Cricket League,2568,4/5/2022,4/5/2022,,,,,,
Rugeley CC,@RugeleyCC,UK,Staffordshire,,1422,4/5/2022,4/5/2022,,,,,,
Kirk Ella CC,@KirkellaCC,UK,,,810,4/5/2022,4/5/2022,,,,,,
Hesketh Bank CC,@HeskethBankCC,UK,,Southport & District Amateur Cricket League,641,4/5/2022,4/5/2022,,,,,,
Friends Cricket Club,@FccOman,Oman,,,563,4/5/2022,didn't bother,,,,,,
Lightcliffe CC,@LightcliffeCC,UK,Yorkshire,Bradford Premier League… HCL,1401,4/5/2022,4/5/2022,,HX3 8RY,,,,
Littletown CC,@Littletowncc,UK,Durham,NE&DCL… HLSCL,2143,4/5/2022,4/5/2022,,,,,,
Hellingly CC,@HellinglyCC,UK,Sussex,,1266,4/5/2022,4/5/2022,,,,,,
Addingham CC,@AddinghamCC,UK,,Airedale & Wharfedale Senior Cricket League,1347,4/5/2022,4/5/2022,,,,,,
CC Bloemendaal,@BdaalCricket,Netherlands,,,558,4/5/2022,4/5/2022,,,,,,
Belper Meadows CC,@BelperMCC,UK,Derbyshire,EMWCL… MDCL… DCCL,689,4/5/2022,4/5/2022,,DE56 1BA,,,,
Denton West CC,@DentonWestCC,UK,Lancashire,GMCL,1862,4/5/2022,4/5/2022,,,,,,
Plzen Guardians CC,@plzenguardians,Czech Rep,,,14,4/5/2022,didn't bother :),,,,,,
Prague Spartans CC,@PragueSpartans,Czech Rep,,,117,4/5/2022,didn't bother :),,,,,,
Brno CC,@BrnoCricket,Czech Rep,,,133,4/5/2022,didn't bother :),,,,,,
Brooklands CC,@Brooklands_CC,UK,Cheshire,Cheshire County League,861,4/5/2022,4/5/2022,,,,,,
Watsonian CC,@WatsonianCC,UK,Scotland,,2324,4/5/2022,4/5/2022,,,,,,
Newton Aycliffe CC,@N_AycliffeCC,UK,Durham,,1794,4/5/2022,4/5/2022,,,,,,
Outlane CC,@OutlaneCC,UK,Yorkshire,HCL,904,4/5/2022,4/5/2022,,HD3 3TE,,,,
Hartsholme CC,@hartsholmecc,UK,Lincolnshire,Lincs County League... EMWCL... Lincoln & District League,796,4/5/2022,4/5/2022,,LN6 0DY,,,,
Bohemian CC,@bohemiancc2011,Czech Rep,,,67,4/5/2022,didn't bother :),,,,,,
Dolgellau CC,@Dolgellaucc,UK,,,1010,4/5/2022,4/5/2022,,,,,,
Ropley CC,@RopleyCC,UK,,Hants CL,320,4/5/2022,4/5/2022,,,,,,
Ropley CC Women & Girls,@RopleyCCWomen,UK,,,267,6/16/2022,,,,,,,
Pudsey Congs CC,@PudseyCongs,UK,Yorkshire,Bradford Premier League… Dales Council Cricket League,2090,4/5/2022,4/5/2022,,LS28 9AP,,,,
West Bromwich Dartford CC,@WBDCC,UK,Birmingham,ECB Birmingham & District Premier,1249,4/5/2022,4/5/2022,,,,,,
Bishopthorpe CC,@BishCC,UK,Yorkshire,HPH York Vale League,697,4/5/2022,4/5/2022,,,,,,
Buckinghamshire CCC,@BucksCCC,UK,Buckinghamshire,,1449,4/6/2022,4/6/2022,,,,,,
CPS CC,@StoresCricket,UK,,,1125,4/6/2022,4/6/2022,,,,,,
Sutton on Hull CC,@SuttononHullCC,UK,,,586,4/6/2022,4/6/2022,,,,,,
Levante CC,@levantecc,Spain,,,259,4/6/2022,4/6/2022,,,,,,
Tillingham CC,@TillinghamCC,UK,Essex,T Rippon Mid Essex Cricket League… Warsop Sunday League,340,4/6/2022,4/6/2022,,CM0 7TW,,,,
Eastbourne Martlets CC,@MartletsCricket,UK,Sussex,,1481,4/6/2022,4/6/2022,,,,,,
Mytholmroyd CC,@MytholmroydCC,UK,Yorkshire,HCL,1263,4/6/2022,4/6/2022,,HX7 5PZ,,,,
Madrid CC,@CricketInMadrid,Spain,,,980,4/6/2022,4/6/2022,,,,,,
Pott Shrigley CC,@PottShrigleyCC,UK,Cheshire,,670,4/6/2022,4/6/2022,,,,,,
Apperley CC,@ApperleyCricket,UK,Gloucestershire,West of England Premier League (WEPL)… GCCL… GECL,2270,4/6/2022,4/6/2022,,,,,,
Luddendenfoot CC,@AnonymousccUTF,UK,Yorkshire,HCL,1079,4/6/2022,4/6/2022,,HX2 6LD,,,,
Harefield CC,@HarefieldCC,UK,Middlesex,HCPCL… TVCL… CVL,763,4/6/2022,4/6/2022,,UB9 6NE,,,,
Hadfield St Andrews CC,@HSACC_Official,UK,,GMCL,1104,4/6/2022,4/6/2022,,,,,,
Purton CC,@PurtonCC,UK,Wiltshire,,1090,4/6/2022,4/6/2022,,,,,,
Abbotskerswell CC,@AbbotsCC,UK,Devon,,925,4/6/2022,4/6/2022,,,,,,
Sudbrook CC,@sudbrookcc,UK,Monmouthshire,,1595,4/6/2022,4/6/2022,,,,,,
Valley End CC,@ValleyendCc,UK,Surrey,AJ Fordham Sports Surrey Championship,1797,4/6/2022,4/6/2022,,,,,,
Lakenheath CC,@LakenheathCC,UK,Suffolk,Marshall Hatchick Two Counties Cricket Championship… Hunts County Sunday League,2240,4/6/2022,4/6/2022,,,,,,
Marlow CC,@MarlowCC,UK,,TVCL,897,4/6/2022,4/6/2022,,,,,,
Heyford CC,@HeyfordCC,UK,Northamptonshire,NCL,815,4/6/2022,4/6/2022,,NN7 3NL,,,,
Loughborough Greenfields CC,@greenfieldscc,UK,Leicestershire,L&RCL,673,4/6/2022,4/6/2022,,LE11 3HZ,,,,
Darley Abbey CC,@DarleyAbbeyCC,UK,Derbyshire,EMWCL… DCCL,966,4/6/2022,4/6/2022,,,,,,
Churchdown CC,@ChurchdownCC,UK,Gloucestershire,,518,4/6/2022,4/6/2022,,,,,,
Hall Park CC,@HallParkCC,UK,Yorkshire,Airedale & Wharfedale Senior Cricket League… Headingly & District T20 Evening League,1892,4/6/2022,4/6/2022,,,,,,
Kingsholm CC,@KingsholmCC,UK,Gloucestershire,GCCL,903,4/6/2022,4/6/2022,,,,,,
Byfleet CC,@ByfleetCC,UK,,,1271,4/7/2022,4/7/2022,,,,,,
Ansty CC,@AnstyCC,UK,Sussex,,1545,4/7/2022,4/7/2022,,,,,,
Great Baddow CC,@_GBCC,UK,Essex,T Rippon Mid Essex Cricket League… Warsop Sunday League,819,4/7/2022,4/7/2022,,CM2 9RL,,,,
High Wycombe CC,@Wycombewarriors,UK,Buckinghamshire,HCPCL… TVCL,978,4/7/2022,4/7/2022,,HP11 1DE,,,,
Lodway CC,@LodwayCC,UK,Somerset,Bristol & District Association & North Somerset Leagues,2980,4/7/2022,4/7/2022,,,,,,
Chelston & Kingskerswell CC,@CandKCC,UK,Devon,,1737,4/7/2022,4/7/2022,,,,,,
Booth CC,@Booth_CC,UK,Yorkshire,HCL,1265,4/7/2022,4/7/2022,,HX2 1TP,,,,
Sheriff Hutton Bridge CC,@ShbccCricket,UK,Yorkshire,Yorkshire Premier League,1323,4/7/2022,4/7/2022,,,,,,
Market Overton CC,@Marketovertoncc,UK,Leicestershire,L&RCL… GMCA... EMWCL,1577,4/7/2022,4/7/2022,,LE15 7PP,,,,
St Just CC,@stjustcc,UK,,,2218,4/7/2022,4/7/2022,,,,,,
Oughtibridge War Memorial CC,@OWMCC,UK,Yorkshire,YCSPL… Barnsley & District Cricket League,1300,4/7/2022,4/7/2022,,S35 0JS,,,,
Thackley CC,@ThackleyCC,UK,Yorkshire,,1052,4/7/2022,4/7/2022,,,,,,
Old Glossop CC,@OldGlossopCC,UK,Derbyshire,Derbyshire & Cheshire Cricket League,1007,4/7/2022,4/7/2022,,,,,,
Gotherington CC,@gotheringtoncc,UK,Gloucestershire,,770,4/7/2022,4/7/2022,,,,,,
Dove Holes CC,@DoveHolesCC,UK,,Derbyshire & Cheshire Cricket League,1507,4/7/2022,4/7/2022,,,,,,
Slieve Bloom CC,@slievebloomcc,Ireland,,,597,4/8/2022,4/8/2022,,,,,,
Great Glen CC,@GreatGlenCC,UK,Leicestershire,L&RCL,471,4/8/2022,4/8/2022,,LE8 9FJ,,,,
Stebbing CC,@StebbingCricket,UK,Essex,North Essex Cricket League,1987,4/8/2022,4/8/2022,,CM6 3SN,,,,
Loughborough Carillon CC,@CarillonCC,UK,Leicestershire,L&RCL,1032,4/8/2022,4/8/2022,,LE11 1ST,,,,
Studley Royal CC,@studleyroyalcc,UK,Yorkshire,Yorkshire League North… Nidderdale League,893,4/8/2022,4/8/2022,,,,,,
Mottram CC,@MottramCricket,UK,Manchester,GMCL,1645,4/8/2022,4/8/2022,,,,,,
Stourport CC,@StourportCC,UK,,,791,4/8/2022,4/8/2022,,,,,,
Bromyard CC,@BromyardCC,UK,Herefordshire,,809,4/8/2022,4/8/2022,,,,,,
Sedgefield CC,@Sedgefield_CC,UK,,,1904,4/8/2022,4/8/2022,,,,,,
Dumbleton CC,@DumbletonCC,UK,Gloucestershire,,1226,4/8/2022,4/8/2022,,,,,,
Antares CC,@AntaresCC,UK,,,176,4/8/2022,4/8/2022,,,,,,
South Loughton CC,@southloughtoncc,UK,Essex,T Rippon Mid Essex Cricket League,1098,4/8/2022,4/8/2022,,IG10 3BS,,,,
Marple CC,@marplecc,UK,Cheshire,Cheshire County Cricket League,2167,4/8/2022,4/8/2022,,,,,,
Bowdon CC,@BowdonCricket,UK,,,1984,4/8/2022,4/8/2022,,,,,,
Leavenheath CC,@LeavenheathCC,UK,,,1435,4/8/2022,4/8/2022,,,,,,
Langton Green CC,@LangtonGreenCC,UK,,,850,4/8/2022,4/8/2022,,,,,,
Mortimer West End CC,@MWECC,UK,,BCL,442,4/8/2022,4/8/2022,,,,,,
Ben Rhydding CC,@BenRhyddingCC,UK,Yorkshire,Nidderdale League,1516,4/8/2022,4/8/2022,,,,,,
Carlton Towers CC,@carltontowerscc,UK,,,238,4/8/2022,4/8/2022,,,,,,
Horndon on the Hill CC,@horndoncricket,UK,Essex,Hamro Foundation Essex League… Essex Sunday League,614,4/8/2022,4/8/2022,,SS17 8NR,,,,
Overstone Park CC,@Overstoneparkcc,UK,Northamptonshire,NCL... EMWCL,2176,5/5/2022,,,NN6 0AW,,,,
Etwall CC,@etwallcricket,UK,Derbyshire,DCCL,951,5/5/2022,,,,,,,
Earl Shilton Town CC,@EarlShiltonTown,UK,Leicestershire,L&RCL,1030,5/5/2022,,,LE9 7DS,,,,
Mumbles CC,@Marespool,UK,South Wales,,2717,5/5/2022,,,,,,,
Assupol TuksCricket,@tukscricket,South Africa,,,2740,5/5/2022,,,,,,,
Great Preston CC,@Great_PrestonCC,UK,Yorkshire,Bradford Premier League,1554,5/5/2022,,,LS26 8AX,,,,
Miskin Manor CC,@MiskinManorCC,UK,,,1887,5/5/2022,,,,,,,
Long Eaton CC,@LongEatonCC,UK,Nottinghamshire / Derbyshire,EMWCL… South Notts League… NCCA,999,5/5/2022,,,NG10 4QG,,,,
Church Fenton CC,@churchfentoncc,UK,Yorkshire,Hunters York and District senior cricket league,1391,5/5/2022,,,,,,,
Purbrook CC,@PurbrookCC,UK,,Southern Premier League… Hants CL,1278,5/5/2022,,,,,,,
South Hampstead CC,@SthHampsteadCC,UK,London,CVL,1423,5/5/2022,,,NW6 7AR,,,,
Grace Dieu Park CC,@GDPCC,UK,Leicestershire,L&RCL... EMWCL,1329,5/5/2022,,,LE67 8LR,,,,
Grace Dieu Park CC Ladies,@gracedieuettes,UK,Leicestershire,,66,5/16/2022,,,,,,,
Bolton Abbey CC,@boltonabbeycc,UK,Yorkshire,,1001,5/5/2022,,,,,,,
Old Sharlston CC,@oldsharlstoncc,UK,Yorkshire,Pontefract & DCL,1454,5/5/2022,,,WF4 1DB,,,,
Bar Hill CC,@BarHillCC,UK,Cambridgeshire,CCA... Cambs Business House League,565,5/5/2022,,,CB23 8SU,,,,
Pontarddulais CC,@PontarddulaisCC,UK,South Wales,SWPCL… WWCA,2674,5/5/2022,,,,,,,
Hessle CC,@HessleCC,UK,Yorkshire,,662,5/5/2022,,,,,,,
Dringhouses CC,@DringhousesCC,UK,Yorkshire,York and District Senior League,2083,5/5/2022,,,,,,,
Kidderminster CC,@KVCC1,UK,,,1921,5/5/2022,,,,,,,
Roadwater CC,@RoadwaterCC,UK,Somerset,West Somerset League,1493,5/5/2022,,,,,,,
Mears Ashby CC,@MearsAshbyCC,UK,Northamptonshire,NCL,2805,5/5/2022,,,NN6 0DR,,,,
Long Ditton CC,@ldcchogs,UK,Surrey,AJ Sports Surrey Championship… Surrey County League,1885,5/5/2022,,,,,,,
Radcliffe CC,@RadcliffeCC,UK,Manchester,GMCL,1818,5/5/2022,,,,,,,
Fairburn CC,@FairburnCC,UK,Yorkshire,Yorkshire Premier League North… Sherburn Evening League,1425,5/5/2022,,,,,,,
The Passage CC,@ThePassageClub,UK,London,NELCL,248,5/5/2022,,,,,,,
Silsden CC,@SilsdenCC,UK,Yorkshire,,913,5/5/2022,,,,,,,
Penkridge CC,@PenkridgeCC,UK,Staffordshire,Birmingham District Premier League,1939,5/5/2022,,,,,,,
Malpas CC,@MalpasCC,UK,Cheshire,Cheshire Cricket League,561,5/5/2022,,,,,,,
Earley CC,@earleycricket,UK,Berkshire,BCL,1987,5/5/2022,,,,,,,
Scotby CC,@ScotbyCC,UK,Cumbria,Eden Valley Cricket League… CDCL,827,5/5/2022,,,,,,,
Brockenhurst CC,@BrockenhurstCC,UK,,Hants CL,2043,5/5/2022,,,,,,,
Macclesfield CC,@MacclesfieldCC,UK,Cheshire,Cheshire County Cricket League,2558,5/5/2022,,,,,,,
Failand & Portbury CC,@FailandCricket,UK,,,736,5/5/2022,,,,,,,
Steep CC,@SteepCricket,UK,Hampshire,Hants CL,1230,5/5/2022,,,,,,,
Osbaldwick CC,@OsoCricket,UK,Yorkshire,York & District Senior League… Foss Evening League,900,5/5/2022,,,,,,,
Lymm OPCC,@Cricket4Lymm,UK,,,356,5/5/2022,,,,,,,
Long Buckby CC,@LongBuckbyCC,UK,Northamptonshire,NCL,1931,5/5/2022,,,NN6 7QA,,,,
Meigle CC,@Meigle_Cricket,UK,Scotland,Strathmore Union Championship,1277,5/5/2022,,,,,,,
Edinburgh CC,@edinburghcc786,UK,Scotland,,218,5/5/2022,,,,,,,
Spondon CC,@spondoncc,UK,Derbyshire,EMWCL… DCCL,1844,5/5/2022,,,,,,,
Stewart's Melville CC,@StewMelCC,UK,Scotland,,1539,5/5/2022,,,,,,,
Redcar CC,@RedcarCricket,UK,,NYSD,1631,5/5/2022,,,,,,,
Charlton Kings CC,@CharltonKingsCC,UK,Gloucestershire,,1287,5/5/2022,,,,,,,
Stockport Trinity CC,@Trinity_Cricket,UK,Cheshire,,1144,5/5/2022,,,,,,,
Burley in Wharfedale CC,@BurleyCC,UK,Yorkshire,Airedale and Wharfedale Cricket League,1195,5/5/2022,,,,,,,
Oxbridge CC,@Oxbridgecc,UK,,Darlington & District League,1337,5/5/2022,,,,,,,
Arbroath United CC,@Cricketarbroath,UK,Scotland,,1878,5/5/2022,,,,,,,
Haywards Heath CC,@HaywardsHeathCC,UK,Sussex,Sussex Cricket League,1269,5/5/2022,,,,,,,
Poynings CC,@PoyningsCC,UK,Sussex,1stCentral Sussex Cricket League,2934,5/5/2022,,,,,,,
Bromley CC,@Bromley_CC,UK,Kent,Kent League,2085,5/5/2022,,,,,,,
Pontyberem CC,@PontyberemCC,UK,,,1981,5/6/2022,,,,,,,
Hollinsend Methodist CC,@HollinsendMCC,UK,Yorkshire,MDCL… DCCL,1430,5/6/2022,,,S12 4WT,,,,
Vienna CC,@viennacricket,Austria,,,1676,5/6/2022,,,,,,,
Beacon CC,@BeaconCricket,UK,Shropshire,,1175,5/6/2022,,,,,,,
Chelmarsh CC,@ChelmarshCC,UK,,SCCL,504,5/6/2022,,,,,,,
Croesyceiliog CC,@Croesycc,UK,,,1432,5/6/2022,,,,,,,
Ferguslie CC,@FerguslieCC,UK,,,2030,5/6/2022,,,,,,,
Enfield CC,@Enfieldcc1856,UK,Middlesex,,1851,5/6/2022,,,,,,,
Roche CC,@Roche_CC,UK,Cornwall,Cornwall Cricket League,1345,5/6/2022,,,,,,,
Datchet CC,@datchetcc,UK,Berkshire,HCPCL… TVCL,1218,5/6/2022,,,SL3 9JF,,,,
Potton Town CC,@PottonTownCC,UK,Bedfordshire,Herts League... Bedfordshire County Cricket League... Bedfordshire Invitation Saturday League... BMCL,982,5/6/2022,,,SG19 2LX,,,,
Lismore CC,@LismoreCC,Ireland,,,1402,5/6/2022,,,,,,,
Redditch Entaco CC,@REDDITCHCC,UK,Worcestershire,Worcestershire League,2861,5/6/2022,,,,,,,
Hopton Mills CC,@HoptonMillsCC,UK,Yorkshire,Bradford Premier League,1001,5/6/2022,,,WF14 8HG,,,,
Prestatyn CC,@PrestatynCC,UK,,LDCC,2173,5/6/2022,,,,,,,
North Leeds CC,@NorthLeedsCC1,UK,Yorkshire,Airedale & Wharfedale Senior Cricket League,1748,5/6/2022,,,,,,,
Sapcote CC,@SapcoteCricketC,UK,Leicestershire,L&RCL,653,5/6/2022,,,LE9 4FL,,,,
Hurley CC,@HurleyCricket,UK,Berkshire,CMB Premiership… Chilterns League,1401,5/6/2022,,,,,,,
Glasshoughton CC,@GlasshoughtonCC,UK,Yorkshire,Pontefract & DCL… Barnsley & District Cricket League,3452,5/6/2022,,,WF10 4PF,,,,
Falkland CC,@FCC1860,UK,Scotland,,1974,5/6/2022,,,,,,,
Heslington CC,@HeslingtonCC,UK,Yorkshire,Hunters YLN… Vale League… Foss League,2111,5/6/2022,,,,,,,
Wokingham CC,@WCCcricket,UK,Berkshire,HCPCL… TVCL… BCL,1765,5/6/2022,,,RG41 5AW,,,,
Albrighton CC,@AlbrightonCC,UK,Shropshire,Shropshire County Cricket League,851,5/6/2022,,,,,,,
Underwood Miners Welfare CC,@UnderwoodMWCC,UK,Nottinghamshire,MDCL,1593,5/6/2022,,,NG16 5FS,,,,
Ossett CC,@ossettcc,UK,Yorkshire,Bradford Premier League,4029,5/6/2022,,,WF5 8JT,,,,
Saughall CC,@SaughallCC,UK,,,765,5/6/2022,,,,,,,
Broomleys CC,@BroomleysCC,UK,Leicestershire,L&RCL... EMWCL,640,5/6/2022,,,LE67 4RF,,,,
Winterbourne CC,@WbourneCC,UK,,Hants CL,1599,5/6/2022,,,,,,,
Waverley CC,@WaverleyCC_UK,UK,,,1968,5/6/2022,,,,,,,
Boconnoc CC,@BoconnocCC,UK,Cornwall,,1260,5/6/2022,,,,,,,
Wath CC,@WathCricketClub,UK,Yorkshire,YCSPL,2961,5/6/2022,,,S63 7RT,,,,
Walsham Le Willows CC,@wlwcc,UK,Suffolk,TCC… SCL… Marshall Hatchick Two Counties Cricket Championship,1280,5/6/2022,,,,,,,
Arcadian Nine Elms CC,@Arcadian9ElmCC,UK,Gloucestershire,GCCL… CGF,483,5/6/2022,,,,,,,
Smethwick CC,@Smethwickcc,UK,Birmingham,Birmingham & District Premier Cricket League… Warwickshire County Cricket League,218,5/6/2022,,,,,,,
Langley CC,@LangleyCricket,UK,Cheshire,Cheshire Cricket League,3048,5/6/2022,,,,,,,
Great Alne CC,@GreatAlneCC,UK,Warwickshire,Cotswold Hills League,1220,5/6/2022,,,,,,,
Acomb CC,@acombcc,UK,Yorkshire,Yorkshire League North… Y&DSCL… York Vale League,3013,5/6/2022,,,,,,,
Bourton Vale CC,@BourtonValeCC,UK,,,1286,5/6/2022,,,,,,,
Southgate Adelaide CC,@SAdelaideCC,UK,London,Herts League,1928,5/6/2022,,,N14 7JZ,,,,
Dersingham CC,@DersinghamCC,UK,Norfolk,Norfolk Over 40s Social League,2513,5/6/2022,,,PE31 6LH,,,,
Blackwood Town CC,@BlackwoodCC,UK,South Wales,,1995,5/6/2022,,,,,,,
Boston CC,@Boston_CC,UK,Lincolnshire,South Lincs & Border League... Lincolnshire County Board Premier League... Lincoln & District League,1288,5/6/2022,,,PE21 7QR,,,,
Broughton CC,@BroughtonCC1948,UK,Lincolnshire,Lincs County League... EMWCL... North Lindsey League,901,5/6/2022,,,DN20 0AF,,,,
Rockhampton CC,@RockhamptonRams,UK,Gloucestershire,WEPL (Glocs Div),3640,5/6/2022,,,,,,,
Martinstown CC,@martinstowncc,UK,Dorset,,2179,5/6/2022,,,,,,,
